Id,TeachingText,Mp3File,Provider,Model,Voice,Locale,ApprovalStatus
give-or-take,Give or take?,give-or-take.mp3,Google Cloud Text-to-Speech / Gemini TTS,gemini-2.5-flash-tts,Kore,en-GB,Approved
find-red,Find red.,find-red.mp3,Google Cloud Text-to-Speech / Gemini TTS,gemini-2.5-flash-tts,Kore,en-GB,Approved
touch-blue,Touch blue.,touch-blue.mp3,Google Cloud Text-to-Speech / Gemini TTS,gemini-2.5-flash-tts,Kore,en-GB,Approved
point-to-yellow,Point to yellow.,point-to-yellow.mp3,Google Cloud Text-to-Speech / Gemini TTS,gemini-2.5-flash-tts,Kore,en-GB,Approved
show-me-green,Show me green.,show-me-green.mp3,Google Cloud Text-to-Speech / Gemini TTS,gemini-2.5-flash-tts,Kore,en-GB,Approved
touch-green,Touch green.,touch-green.mp3,Google Cloud Text-to-Speech / Gemini TTS,gemini-2.5-flash-tts,Kore,en-GB,Approved
point-to-red,Point to red.,point-to-red.mp3,Google Cloud Text-to-Speech / Gemini TTS,gemini-2.5-flash-tts,Kore,en-GB,Approved
show-me-blue,Show me blue.,show-me-blue.mp3,Google Cloud Text-to-Speech / Gemini TTS,gemini-2.5-flash-tts,Kore,en-GB,Approved
show-me-yellow,Show me yellow.,show-me-yellow.mp3,Google Cloud Text-to-Speech / Gemini TTS,gemini-2.5-flash-tts,Kore,en-GB,Approved
touch-red,Touch red.,touch-red.mp3,Google Cloud Text-to-Speech / Gemini TTS,gemini-2.5-flash-tts,Kore,en-GB,Approved
point-to-blue,Point to blue.,point-to-blue.mp3,Google Cloud Text-to-Speech / Gemini TTS,gemini-2.5-flash-tts,Kore,en-GB,Approved
find-three,Find three.,find-three.mp3,Google Cloud Text-to-Speech / Gemini TTS,gemini-2.5-flash-tts,Kore,en-GB,Approved
touch-five,Touch five.,touch-five.mp3,Google Cloud Text-to-Speech / Gemini TTS,gemini-2.5-flash-tts,Kore,en-GB,Approved
how-many,How many?,how-many.mp3,Google Cloud Text-to-Speech / Gemini TTS,gemini-2.5-flash-tts,Kore,en-GB,Approved
one,One.,one.mp3,Google Cloud Text-to-Speech / Gemini TTS,gemini-2.5-flash-tts,Kore,en-GB,Approved
two,Two.,two.mp3,Google Cloud Text-to-Speech / Gemini TTS,gemini-2.5-flash-tts,Kore,en-GB,Approved
three,Three.,three.mp3,Google Cloud Text-to-Speech / Gemini TTS,gemini-2.5-flash-tts,Kore,en-GB,Approved
three-balls,Three balls.,three-balls.mp3,Google Cloud Text-to-Speech / Gemini TTS,gemini-2.5-flash-tts,Kore,en-GB,Approved
four,Four.,four.mp3,Google Cloud Text-to-Speech / Gemini TTS,gemini-2.5-flash-tts,Kore,en-GB,Approved
four-stars,Four stars.,four-stars.mp3,Google Cloud Text-to-Speech / Gemini TTS,gemini-2.5-flash-tts,Kore,en-GB,Approved
point-to-five,Point to five.,point-to-five.mp3,Google Cloud Text-to-Speech / Gemini TTS,gemini-2.5-flash-tts,Kore,en-GB,Approved
show-me-two,Show me two.,show-me-two.mp3,Google Cloud Text-to-Speech / Gemini TTS,gemini-2.5-flash-tts,Kore,en-GB,Approved
touch-three,Touch three.,touch-three.mp3,Google Cloud Text-to-Speech / Gemini TTS,gemini-2.5-flash-tts,Kore,en-GB,Approved
come-here,Come here.,come-here.mp3,Google Cloud Text-to-Speech / Gemini TTS,gemini-2.5-flash-tts,Kore,en-GB,Approved
stop,Stop.,stop.mp3,Google Cloud Text-to-Speech / Gemini TTS,gemini-2.5-flash-tts,Kore,en-GB,Approved
go,Go.,go.mp3,Google Cloud Text-to-Speech / Gemini TTS,gemini-2.5-flash-tts,Kore,en-GB,Approved
show-me-three,Show me three.,show-me-three.mp3,Google Cloud Text-to-Speech / Gemini TTS,gemini-2.5-flash-tts,Kore,en-GB,Approved
sit-down-and-point-to-blue,Sit down and point to blue.,sit-down-and-point-to-blue.mp3,Google Cloud Text-to-Speech / Gemini TTS,gemini-2.5-flash-tts,Kore,en-GB,Approved
stand-up-and-show-me-three,Stand up and show me three.,stand-up-and-show-me-three.mp3,Google Cloud Text-to-Speech / Gemini TTS,gemini-2.5-flash-tts,Kore,en-GB,Approved
stand-up-and-touch-red,Stand up and touch red.,stand-up-and-touch-red.mp3,Google Cloud Text-to-Speech / Gemini TTS,gemini-2.5-flash-tts,Kore,en-GB,Approved
find-a,Find A.,find-a.mp3,Google Cloud Text-to-Speech / Gemini TTS,gemini-2.5-flash-tts,Kore,en-GB,Approved
find-b,Find B.,find-b.mp3,Google Cloud Text-to-Speech / Gemini TTS,gemini-2.5-flash-tts,Kore,en-GB,Approved
find-c,Find C.,find-c.mp3,Google Cloud Text-to-Speech / Gemini TTS,gemini-2.5-flash-tts,Kore,en-GB,Approved
find-d,Find D.,find-d.mp3,Google Cloud Text-to-Speech / Gemini TTS,gemini-2.5-flash-tts,Kore,en-GB,Approved
find-e,Find E.,find-e.mp3,Google Cloud Text-to-Speech / Gemini TTS,gemini-2.5-flash-tts,Kore,en-GB,Approved
use-your-paper-and-pencil,Use your paper and pencil.,use-your-paper-and-pencil.mp3,Google Cloud Text-to-Speech / Gemini TTS,gemini-2.5-flash-tts,Kore,en-GB,Approved
write-your-name,Write your name.,write-your-name.mp3,Google Cloud Text-to-Speech / Gemini TTS,gemini-2.5-flash-tts,Kore,en-GB,Approved
copy-a-on-your-paper,Copy A on your paper.,copy-a-on-your-paper.mp3,Google Cloud Text-to-Speech / Gemini TTS,gemini-2.5-flash-tts,Kore,en-GB,Approved
write-a,Write A.,write-a.mp3,Google Cloud Text-to-Speech / Gemini TTS,gemini-2.5-flash-tts,Kore,en-GB,Approved
what-colour-is-it,What colour is it?,what-colour-is-it.mp3,Google Cloud Text-to-Speech / Gemini TTS,gemini-2.5-flash-tts,Kore,en-GB,Approved
red,Red.,red.mp3,Google Cloud Text-to-Speech / Gemini TTS,gemini-2.5-flash-tts,Kore,en-GB,Approved
blue,Blue.,blue.mp3,Google Cloud Text-to-Speech / Gemini TTS,gemini-2.5-flash-tts,Kore,en-GB,Approved
yellow,Yellow.,yellow.mp3,Google Cloud Text-to-Speech / Gemini TTS,gemini-2.5-flash-tts,Kore,en-GB,Approved
green,Green.,green.mp3,Google Cloud Text-to-Speech / Gemini TTS,gemini-2.5-flash-tts,Kore,en-GB,Approved
its-red,It's red.,its-red.mp3,Google Cloud Text-to-Speech / Gemini TTS,gemini-2.5-flash-tts,Kore,en-GB,Approved
five,Five.,five.mp3,Google Cloud Text-to-Speech / Gemini TTS,gemini-2.5-flash-tts,Kore,en-GB,Approved
five-balls,Five balls.,five-balls.mp3,Google Cloud Text-to-Speech / Gemini TTS,gemini-2.5-flash-tts,Kore,en-GB,Approved
point-to-three,Point to three.,point-to-three.mp3,Google Cloud Text-to-Speech / Gemini TTS,gemini-2.5-flash-tts,Kore,en-GB,Approved
show-me-red,Show me red.,show-me-red.mp3,Google Cloud Text-to-Speech / Gemini TTS,gemini-2.5-flash-tts,Kore,en-GB,Approved
