Id,TeachingText,Mp3File,Provider,Model,Voice,Locale,ApprovalStatus
"black-ball","Black ball.","black-ball.mp3","Google Cloud Text-to-Speech / Gemini TTS","gemini-2.5-flash-tts","Kore","en-GB","Approved"
"white-ball","White ball.","white-ball.mp3","Google Cloud Text-to-Speech / Gemini TTS","gemini-2.5-flash-tts","Kore","en-GB","Approved"
"brown-ball","Brown ball.","brown-ball.mp3","Google Cloud Text-to-Speech / Gemini TTS","gemini-2.5-flash-tts","Kore","en-GB","Approved"
"find-the-red-ball","Find the red ball.","find-the-red-ball.mp3","Google Cloud Text-to-Speech / Gemini TTS","gemini-2.5-flash-tts","Kore","en-GB","Approved"
"touch-the-blue-ball","Touch the blue ball.","touch-the-blue-ball.mp3","Google Cloud Text-to-Speech / Gemini TTS","gemini-2.5-flash-tts","Kore","en-GB","Approved"
"point-to-the-yellow-ball","Point to the yellow ball.","point-to-the-yellow-ball.mp3","Google Cloud Text-to-Speech / Gemini TTS","gemini-2.5-flash-tts","Kore","en-GB","Approved"
"find-the-purple-ball","Find the purple ball.","find-the-purple-ball.mp3","Google Cloud Text-to-Speech / Gemini TTS","gemini-2.5-flash-tts","Kore","en-GB","Approved"
"a-red-ball","A red ball.","a-red-ball.mp3","Google Cloud Text-to-Speech / Gemini TTS","gemini-2.5-flash-tts","Kore","en-GB","Approved"
"a-blue-pencil","A blue pencil.","a-blue-pencil.mp3","Google Cloud Text-to-Speech / Gemini TTS","gemini-2.5-flash-tts","Kore","en-GB","Approved"
"a-yellow-star","A yellow star.","a-yellow-star.mp3","Google Cloud Text-to-Speech / Gemini TTS","gemini-2.5-flash-tts","Kore","en-GB","Approved"
"a-green-apple","A green apple.","a-green-apple.mp3","Google Cloud Text-to-Speech / Gemini TTS","gemini-2.5-flash-tts","Kore","en-GB","Approved"
"a-pink-bag","A pink bag.","a-pink-bag.mp3","Google Cloud Text-to-Speech / Gemini TTS","gemini-2.5-flash-tts","Kore","en-GB","Approved"
"find-the-blue-pencil","Find the blue pencil.","find-the-blue-pencil.mp3","Google Cloud Text-to-Speech / Gemini TTS","gemini-2.5-flash-tts","Kore","en-GB","Approved"
"touch-the-green-apple","Touch the green apple.","touch-the-green-apple.mp3","Google Cloud Text-to-Speech / Gemini TTS","gemini-2.5-flash-tts","Kore","en-GB","Approved"
"point-to-the-yellow-star","Point to the yellow star.","point-to-the-yellow-star.mp3","Google Cloud Text-to-Speech / Gemini TTS","gemini-2.5-flash-tts","Kore","en-GB","Approved"
"what-colour-is-the-ball-it-s-red","What colour is the ball? It's red.","what-colour-is-the-ball-it-s-red.mp3","Google Cloud Text-to-Speech / Gemini TTS","gemini-2.5-flash-tts","Kore","en-GB","Approved"
"what-colour-is-the-bag-it-s-pink","What colour is the bag? It's pink.","what-colour-is-the-bag-it-s-pink.mp3","Google Cloud Text-to-Speech / Gemini TTS","gemini-2.5-flash-tts","Kore","en-GB","Approved"
"it-s-a-red-ball","It's a red ball.","it-s-a-red-ball.mp3","Google Cloud Text-to-Speech / Gemini TTS","gemini-2.5-flash-tts","Kore","en-GB","Approved"
"find-something-red","Find something red.","find-something-red.mp3","Google Cloud Text-to-Speech / Gemini TTS","gemini-2.5-flash-tts","Kore","en-GB","Approved"
"touch-something-blue","Touch something blue.","touch-something-blue.mp3","Google Cloud Text-to-Speech / Gemini TTS","gemini-2.5-flash-tts","Kore","en-GB","Approved"
"show-me-something-green","Show me something green.","show-me-something-green.mp3","Google Cloud Text-to-Speech / Gemini TTS","gemini-2.5-flash-tts","Kore","en-GB","Approved"
"find-something-black","Find something black.","find-something-black.mp3","Google Cloud Text-to-Speech / Gemini TTS","gemini-2.5-flash-tts","Kore","en-GB","Approved"
"which-one-is-the-same-colour-as-the-red-ball","Which one is the same colour as the red ball?","which-one-is-the-same-colour-as-the-red-ball.mp3","Google Cloud Text-to-Speech / Gemini TTS","gemini-2.5-flash-tts","Kore","en-GB","Approved"
"which-one-is-different","Which one is different?","which-one-is-different.mp3","Google Cloud Text-to-Speech / Gemini TTS","gemini-2.5-flash-tts","Kore","en-GB","Approved"
"which-one-belongs-with-the-red-things","Which one belongs with the red things?","which-one-belongs-with-the-red-things.mp3","Google Cloud Text-to-Speech / Gemini TTS","gemini-2.5-flash-tts","Kore","en-GB","Approved"
"which-one-starts-with-the-b-sound","Which one starts with the b sound?","which-one-starts-with-the-b-sound.mp3","Google Cloud Text-to-Speech / Gemini TTS","gemini-2.5-flash-tts","Kore","en-GB","Approved"
"write-red","Write red.","write-red.mp3","Google Cloud Text-to-Speech / Gemini TTS","gemini-2.5-flash-tts","Kore","en-GB","Approved"
"write-blue","Write blue.","write-blue.mp3","Google Cloud Text-to-Speech / Gemini TTS","gemini-2.5-flash-tts","Kore","en-GB","Approved"
"touch-the-red-ball","Touch the red ball.","touch-the-red-ball.mp3","Google Cloud Text-to-Speech / Gemini TTS","gemini-2.5-flash-tts","Kore","en-GB","Approved"
"point-to-the-blue-pencil","Point to the blue pencil.","point-to-the-blue-pencil.mp3","Google Cloud Text-to-Speech / Gemini TTS","gemini-2.5-flash-tts","Kore","en-GB","Approved"
"show-me-the-green-apple","Show me the green apple.","show-me-the-green-apple.mp3","Google Cloud Text-to-Speech / Gemini TTS","gemini-2.5-flash-tts","Kore","en-GB","Approved"
"touch-the-red-ball-and-point-to-the-blue-pencil","Touch the red ball and point to the blue pencil.","touch-the-red-ball-and-point-to-the-blue-pencil.mp3","Google Cloud Text-to-Speech / Gemini TTS","gemini-2.5-flash-tts","Kore","en-GB","Approved"
