Id,TeachingText,Mp3File,Provider,Model,Voice,Locale,ApprovalStatus
"orange","Orange.","orange.mp3","Google Cloud Text-to-Speech / Gemini TTS","gemini-2.5-flash-tts","Kore","en-GB","Approved"
"pink","Pink.","pink.mp3","Google Cloud Text-to-Speech / Gemini TTS","gemini-2.5-flash-tts","Kore","en-GB","Approved"
"purple","Purple.","purple.mp3","Google Cloud Text-to-Speech / Gemini TTS","gemini-2.5-flash-tts","Kore","en-GB","Approved"
"black","Black.","black.mp3","Google Cloud Text-to-Speech / Gemini TTS","gemini-2.5-flash-tts","Kore","en-GB","Approved"
"white","White.","white.mp3","Google Cloud Text-to-Speech / Gemini TTS","gemini-2.5-flash-tts","Kore","en-GB","Approved"
"brown","Brown.","brown.mp3","Google Cloud Text-to-Speech / Gemini TTS","gemini-2.5-flash-tts","Kore","en-GB","Approved"
"find-purple","Find purple.","find-purple.mp3","Google Cloud Text-to-Speech / Gemini TTS","gemini-2.5-flash-tts","Kore","en-GB","Approved"
"touch-orange","Touch orange.","touch-orange.mp3","Google Cloud Text-to-Speech / Gemini TTS","gemini-2.5-flash-tts","Kore","en-GB","Approved"
"point-to-black","Point to black.","point-to-black.mp3","Google Cloud Text-to-Speech / Gemini TTS","gemini-2.5-flash-tts","Kore","en-GB","Approved"
"show-me-pink","Show me pink.","show-me-pink.mp3","Google Cloud Text-to-Speech / Gemini TTS","gemini-2.5-flash-tts","Kore","en-GB","Approved"
"what-colour-is-it-it-s-red","What colour is it? It's red.","what-colour-is-it-it-s-red.mp3","Google Cloud Text-to-Speech / Gemini TTS","gemini-2.5-flash-tts","Kore","en-GB","Approved"
"red-ball","Red ball.","red-ball.mp3","Google Cloud Text-to-Speech / Gemini TTS","gemini-2.5-flash-tts","Kore","en-GB","Approved"
"blue-ball","Blue ball.","blue-ball.mp3","Google Cloud Text-to-Speech / Gemini TTS","gemini-2.5-flash-tts","Kore","en-GB","Approved"
"yellow-ball","Yellow ball.","yellow-ball.mp3","Google Cloud Text-to-Speech / Gemini TTS","gemini-2.5-flash-tts","Kore","en-GB","Approved"
"green-ball","Green ball.","green-ball.mp3","Google Cloud Text-to-Speech / Gemini TTS","gemini-2.5-flash-tts","Kore","en-GB","Approved"
"orange-ball","Orange ball.","orange-ball.mp3","Google Cloud Text-to-Speech / Gemini TTS","gemini-2.5-flash-tts","Kore","en-GB","Approved"
"pink-ball","Pink ball.","pink-ball.mp3","Google Cloud Text-to-Speech / Gemini TTS","gemini-2.5-flash-tts","Kore","en-GB","Approved"
"purple-ball","Purple ball.","purple-ball.mp3","Google Cloud Text-to-Speech / Gemini TTS","gemini-2.5-flash-tts","Kore","en-GB","Approved"
